brand,name,price,n_shades,rating
TOM FORD,Illuminating Primer,C$101.00,,4 stars
trèStiQue,Magic Mattifying Balm & Blotting Sheet Duo,C$40.00,,4 stars
bareMinerals,BAREPRO® Contour Face-Shaping Powder Trio,C$42.00,,4.5 stars
NARS,Light Reflecting Pressed Setting Powder,C$46.00,,4 stars
Antonym,Certified Organic Highlighter,C$57.00,,3.5 stars
Viseart,Seamless Setting Powder,C$46.00,,4.5 stars
MAC Cosmetics,Foundation Pump,C$12.00,,4 stars
Black Up,Matifying Fluid Foundation,C$51.00,6 more colors,4 stars
Artist Couture,Disco Couture Glow Inferno Set,C$36.00,,4 stars
Marc Jacobs Beauty,Perfection Powder - Featherweight Finish,C$58.00,,3.5 stars
Kat Von D,Crush - Technicolor Crayon Set,C$45.00,,4.5 stars
Yves Saint Laurent,Touche Eclat Blur Perfector,C$56.00,,4 stars
Benefit Cosmetics,Dandelion Shy Beam Matte Highlighter,C$35.00,,4 stars
KEVYN AUCOIN,The Sensual Skin Powder Foundation,C$67.00,,4.5 stars
Givenchy,Photo'Perfexion Fluid Foundation,C$68.00,2 more colors,4.5 stars
Cinema Secrets,Super Sealer Mattifying Setting Spray,C$34.00,,3.5 stars
Black Up,Strobing Highlighting Stick,C$42.00,2 more colors,2 stars
SEPHORA COLLECTION,Metallic Pigment Palette,C$37.00,,4.5 stars
Marc Jacobs Beauty,Re(cover) Perfecting Coconut Setting Mist,C$53.00,,3.5 stars
Cinema Secrets,Ultimate Foundation 5-in-1 Pro Palette™,C$48.00,5 more colors,4 stars
Natasha Denona,Invisible HD Face Powder,C$49.00,1 more color,4 stars
Wander Beauty,Smooth Sailing Perfecting Primer,C$48.00,,4 stars
Perricone MD,No Makeup Foundation,C$84.00,4 more colors,3 stars
Josie Maran,Argan Enlightenment Illuminizing Wand,C$35.00,,4 stars
Hourglass,Veil Fluid Makeup Oil Free,C$77.00,10 more colors,3.5 stars
MAC Cosmetics,Prep + Prime Fix+ Matte,C$33.00,,3.5 stars
Kat Von D,Lock-It Color Correcting Eyeshadow Primer,C$33.00,1 more color,3.5 stars
MAKE UP FOR EVER,Star Powder,C$25.00,12 more colors,4.5 stars
NARS,Radiance Primer,C$45.00,,4.5 stars
trèStiQue,Highlight & Perfect Multipurpose Stick,C$34.00,1 more color,4 stars
Charlotte Tilbury,The Golden Goddess Look Set,C$299.00,,3.5 stars
Benefit Cosmetics,Happily Ever Laughter Mini Set,C$42.00,,3 stars
Yves Saint Laurent,Couture Highlighter,C$55.00,,2.5 stars
ILIA,Liquid Light Serum Highlighter Deluxe Duo,C$28.00,,No stars
GLAMGLOW,GLOWPOWDER™ Hyaluronic Acid Infused Glow Palette,C$55.00,,4.5 stars
Antonym,Organic Certified Highlighting Blush,C$57.00,,4 stars
ILIA,Cucumber Water Stick,C$55.00,,3.5 stars
MAC Cosmetics,Studio Fix Perfecting Powder,C$35.00,7 more colors,3 stars
First Aid Beauty,Hello FAB Mango Butter Multi Stick,C$25.00,,3.5 stars
MAKE UP FOR EVER,Glitters,C$20.00,,4.5 stars
Black Up,Concealer & Corrector Duo,C$35.00,,4.5 stars
Pretty Vulgar,Bird's Nest Blurring Beauty Mousse Foundation,C$53.50 - C$54.00,7 more colors,3.5 stars
First Aid Beauty,Limited Edition Hello FAB Coconut Skin Smoothie Priming Moisturizer,C$37.00,,No stars
Lise Watier,Velvet Matte Foundation,C$45.00,9 more colors,4.5 stars
BURBERRY,Eye Colour Contour Smoke & Sculpt Pen,C$35.00,,4.5 stars
Lise Watier,Portfolio Professional Correctors,C$36.00,2 more colors,4 stars
tarte,The Slenderizer Bamboo Contour Brush,C$45.00,,4 stars
Urban Decay,Disco Queen Holographic Disco Highlighter Stick,C$34.00,,3.5 stars
SEPHORA COLLECTION,Beauty Amplifier Pore Primer,C$18.50,,4 stars
Smashbox,Photo Finish Primer Water x Nicol Concilio,C$42.00,2 more colors,3.5 stars
Lise Watier,Base Miracle Skin Perfecting Primer,C$40.00,,No stars
Pretty Vulgar,Just Glow With It Liquid Highlighter,C$47.50,2 more colors,No stars
MAKE UP FOR EVER,Mixing Balm,C$34.00,,No stars
trèStiQue,Shimmering Nudes Set,C$51.30,,5 stars
Too Faced,Candlelight Glow Highlighting Powder Duo,C$38.00,,4 stars
Smashbox,L.A. Lights Blendable Lip & Cheek Color,C$38.00,2 more colors,4 stars
Natasha Denona,Eye Light Highlighting Concealer,C$37.00,3 more colors,3 stars
Giorgio Armani Beauty,Micro-Fil Loose Powder,C$68.00,,5 stars
Urban Decay,Naked Skin Ultra Definition Powder Foundation,C$46.00,6 more colors,4 stars
shu uemura,Yuzu Makeup Refresher Mist,C$34.00,,3.5 stars
MAKE UP FOR EVER,Chromatic Mix – Oil Base,C$18.50,1 more color,4.5 stars
Guerlain,Terracotta Skin Foundation Stick,C$60.00,5 more colors,5 stars
STELLAR,Orion Cosmic Face Lustre Trio,C$30.00,,4.5 stars
Too Faced,High-Impact Highlighter,C$40.00,,4.5 stars
trèStiQue,"Conceal, Cover & Correct Crayon",C$30.00,,4 stars
Benefit Cosmetics,Industrial Strength Deal Full Coverage Concealer Duo,C$30.00,,4 stars
