brand,name,price,n_shades,rating
FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Longwear Foundation,C$45.00,49 more colors,4 stars
Estée Lauder,Double Wear Stay-in-Place Foundation,C$56.00,55 more colors,4.5 stars
MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,C$55.00,39 more colors,4 stars
MAKE UP FOR EVER,Matte Velvet Skin Blurring Powder Foundation,C$50.00,29 more colors,4.5 stars
Giorgio Armani Beauty,Luminous Silk Foundation,C$55.00 - C$80.00,41 more colors,4.5 stars
Anastasia Beverly Hills,Stick Foundation,C$33.00,29 more colors,3.5 stars
Lancôme,Teint Idole Ultra Long Wear Foundation,C$62.00,44 more colors,4.5 stars
Too Faced,Born This Way Foundation,C$51.00,34 more colors,4 stars
Kat Von D,Lock-It Foundation,C$24.00 - C$48.00,70 more colors,4 stars
HUDA BEAUTY,#FauxFilter Foundation,C$54.00,29 more colors,3.5 stars
Dior,Dior Airflash Spray Foundation,C$82.00,17 more colors,4.5 stars
NARS,Natural Radiant Longwear Foundation,C$60.00,29 more colors,3.5 stars
Dior,BACKSTAGE Face & Body Foundation,C$53.00,39 more colors,4.5 stars
NARS,Sheer Glow Foundation,C$59.00,39 more colors,4 stars
Bobbi Brown,Skin Long-Wear Weightless Foundation SPF 15,C$62.00,29 more colors,4 stars
bareMinerals,BAREPRO Performance Wear Powder Foundation,C$37.00 - C$38.00,25 more colors,4 stars
IT Cosmetics,Your Skin But Better CC+ Cream with SPF 50+,C$20.00 - C$52.00,13 more colors,4 stars
SEPHORA COLLECTION,Matte Perfection Powder Foundation,C$26.50,34 more colors,4 stars
SEPHORA COLLECTION,10 HR Wear Perfection Foundation,C$25.00 - C$26.50,59 more colors,4 stars
Too Faced,Peach Perfect Comfort Matte Foundation – Peaches and Cream Collection,C$48.00,29 more colors,4.5 stars
SEPHORA COLLECTION,Perfection Mist Airbrush Foundation,C$35.00,4 more colors,4.5 stars
Too Faced,Born This Way Multi-Use Complexion Powder,C$49.00,24 more colors,4.5 stars
MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,C$50.00,39 more colors,3.5 stars
Laura Mercier,Smooth Finish Foundation Powder,C$60.00,13 more colors,4.5 stars
COVER FX,Total Cover Cream Foundation,C$55.00,39 more colors,4 stars
Hourglass,Vanish™ Seamless Finish Foundation Stick,C$61.00,31 more colors,4 stars
COVER FX,Power Play Foundation,C$56.00,39 more colors,4 stars
Kat Von D,Lock-It Powder Foundation,C$48.00,25 more colors,4 stars
Smashbox,Studio Skin 15 Hour Hydrating Foundation,C$48.00,38 more colors,4 stars
IT Cosmetics,CC+ Airbrush Perfecting Powder,C$46.00,6 more colors,3.5 stars
MAKE UP FOR EVER,Ultra HD Invisible Cover Stick Foundation,C$56.00,18 more colors,4 stars
CLINIQUE,Even Better Makeup Broad Spectrum SPF 15,C$39.00,55 more colors,4 stars
Marc Jacobs Beauty,Re(marc)able Full Cover Foundation Concentrate,C$70.00,21 more colors,3.5 stars
